ID,Chinese Name,English Name,Latin Name,Rarity (1-4 from rare to common)
1059,棕颈钩嘴鹛,Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,0
1060,棕头钩嘴鹛,Red-billed Scimitar-Babbl,Pomatorhinus ochraceiceps,2
1061,红嘴钩嘴鹛,Coral-billed Scimitar-Bab,Pomatorhinus ferruginosus,1
1062,剑嘴鹛,Slender-billed Scimitar-B,Xiphirhynchus superciliaris,1
1063,长嘴鹩鹛,Long-billed Wren-babbler,Rimator malacoptilus,2
1064,灰岩鹪鹛,Limestone Wren-Babbler,Napothera crispifrons,2
1065,短尾鹪鹛,Streaked Wren-Babbler,Napothera brevicaudata,2
1066,纹胸鹪鹛 ,Eyebrowed Wren-Babbler,Napothera epilepidota,3
1067,鳞胸鹪鹛,Scaly-breasted Wren-Babbl,Pnoepyga albiventer,2
1068,小鳞[胸]鹪鹛,Pygmy Wren-Babbler,Pnoepyga pusilla,0
1069,短尾鹩鹛,Rufous-throated Wren Babbler,Spelaeornis caudatus,1
1070,锈喉鹩鹛,Rusty-throated Wren Babbler,Spelaeornis badeigularis,1
1071,斑翅鹩鹛,Bar-winged Wren-Babbler,Spelaeornis troglodytoides,1
1072,丽星鹩鹛,Spotted Wren Babbler,Spelaeornis formosus,2
1073,长尾鹩鹛,Long-tailed Wren-Babbler,Spelaeornis chocolatinus,1
1074,楔头鹩鹛 ,Wedge-billed Wren Babbler,Spelaeornis humei,1
1075,红额穗鹛,Bufous-fronted Babbler,Stachyris rufifrons,1
1076,红头穗鹛,Rufous-capped Babbler,Stachyris ruficeps,0
1077,金头穗鹛,Golden Babbler,Stachyris chrysaea,0
1078,黑头穗鹛,Grey-throated Babbler,Stachyris nigriceps,0
1079,斑颈穗鹛 ,Spot-necked Babbler,Stachyris striolata,0
1080,纹胸巨鹛,Striped Tit-Babbler,Macronous gularis,0
1081,红顶鹛,Chestnut-capped Babbler,Timalia pileata,0
1082,金眼鹛雀,Yellow-eyed Babbler,Chrysomma sinense,0
1083,宝兴鹛雀,Rufous-tailed Babbler,Chrysomma poecilotis,0
1084,矛纹草鹛,Chinese Babax,Babax lanceolatus,0
1085,大草鹛 ,Giant Babax,Babax waddelli,1
1086,棕草鹛,Tibetan Babax,Babax koslowi,2
1087,银耳相思鸟,Silver-eared Mesia,Leiothrix argentauris,0
1088,红嘴相思鸟,Red-billed Leiothrix,Leiothrix lutea,0
1089,斑胁姬鹛,Cutia,Cutia nipalensis,2
1090,棕腹鵙鹛,Black-headed Shrike-Babbl,Pteruthius rufiventer,1
1091,红翅鵙鹛,White-browed Shrike-Babbl,Pteruthius flaviscapis,2
1092,淡绿鵙鹛,Green Shrike-Babbler,Pteruthius xanthochlorus,2
1093,栗喉鵙鹛,Chestwect-Turoated Shrike Babbler,Pteruthius melanotis,2
1094,栗额鵙鹛,Chestnut-fronted Shrike-B,Pteruthius aenobarbus,2
1095,白头鵙鹛,White-hooded Shrike Babbler,Gampsorhynchus rufulus,2
1096,锈额斑翅鹛,Rusty-fronted Barwing,Actinodura egertoni,2
1097,白眶斑翅鹛,Spectacled Barwing,Actinodura ramsayi,0
1098,纹头斑翅鹛,Hoary-throated Barwing,Actinodura nipalensis,1
1099,纹胸斑翅鹛,Streak-throated Barwing,Actinodura waldeni,1
1100,灰头斑翅鹛,Streaked Barwing,Actinodura souliei,1
1101,台湾斑翅鹛,Formosan Barwing,Actinodura morrisoniana,0
1102,蓝翅希鹛,Blue-winged Minla,Minla cyanouroptera,0
1103,斑喉希鹛,Chestnut-tailed Minla,Minla strigula,0
1104,火尾希鹛,Red-tailed Minla,Minla ignotincta,0
1105,金胸雀鹛,Golden-breasted Fulvetta,Alcippe chrysotis,1
1106,金额雀鹛,Gold-fronted Fulvetta,Alcippe variegaticeps,3
1107,黄喉雀鹛,Yellow-throated Fulvetta,Alcippe cinerea,2
1108,栗头雀鹛,Rufous-winged Fulvetta,Alcippe castaneceps,2
1109,白眉雀鹛,White-browed Fulvetta,Alcippe vinipectus,0
1110,高山雀鹛,Chinese Fulvetta,Alcippe striaticollis,0
1111,棕头雀鹛,Spectacled Fulvetta,Alcippe ruficapilla,2
1112,褐头雀鹛,Streak-throated Fulvetta,Alcippe cinereiceps,0
1113,路德雀鹛,Ludlow's Fulvetta,Alcippe ludlowi,0
1114,棕喉雀鹛,Rufous-throated Fulvetta,Alcippe rufogularis,2
1115,褐顶雀鹛,Dusky Fulvetta,Alcippe brunnea,0
1116,褐胁雀鹛,Rusty-capped Fulvetta,Alcippe dubia,2
1117,褐脸雀鹛,Brown-cheeked Fulvetta,Alcippe poioicephala,0
1118,灰眶雀鹛,Grey-cheeked Fulvetta,Alcippe morrisonia,0
1119,白眶雀鹛,Nepal Fulvetta,Alcippe nipalensis,0
1120,栗背奇鹛 ,Rufous-backed Sibia,Heterophasia annectens,2
1121,黑顶奇鹛,Beautiful Sibia,Heterophasia capistrata,1
1122,灰奇鹛,Grey Sibia,Heterophasia gracilis,3
1123,黑头奇鹛,Rufous Sibia,Heterophasia melanoleuca,0
1124,白耳奇鹛,White-eared Sibia,Heterophasia auricularis,0
1125,丽色奇鹛,Beautiful Sibia,Heterophasia pulchella,2
1126,长尾奇鹛,Long-tailed Sibia,Heterophasia picaoides,0
1127,栗耳凤鹛,Striated Yuhina,Yuhina castaniceps,0
1128,白项凤鹛,White-naped Yuhina,Yuhina bakeri,0
1129,黄颈凤鹛,Whiskered Yuhina,Yuhina flavicollis,2
1130,纹喉凤鹛,Stripe-throated Yuhina,Yuhina gularis,0
1131,白领凤鹛,White-collared Yuhina,Yuhina diademata,0
1132,棕肛凤鹛,Rufous-vented Yuhina,Yuhina occipitalis,0
1133,褐头凤鹛,Taiwan Yuhina,Yuhina brunneiceps,0
1134,黑额凤鹛,Black-chinned Yuhina,Yuhina nigrimenta,0
1135,白腹凤鹛,White-bellied Yuhina,Yuhina zantholeuca,0
1136,火尾绿鹛,Fire-tailed Myzornis,Myzornis pyrrhoura,1
1137,文须雀,Bearded Parrotbill,Panurus biarmicus,0
1138,红嘴鸦雀,Great Parrotbill,Conostoma aemodium,2
1139,三趾鸦雀,Three-toed Parrotbill,Paradoxornis paradoxus,2
1140,褐鸦雀,Brown Parrotbill,Paradoxornis unicolor,2
1141,灰头鸦雀,Grey-headed Parrotbill,Paradoxornis gularis,0
1142,斑胸鸦雀 ,Black-breasted Parrotbill,Paradoxornis flavirostris,1
1143,点胸鸦雀 ,Spot-breasted Parrotbill,Paradoxornis guttaticollis,0
1144,白眶鸦雀,Spectacled Parrotbill,Paradoxornis conspicillatus,2
1145,棕头鸦雀,Vinous-throated Parrotbill,Paradoxornis webbianus,0
1146,褐翅鸦雀,Brown-winged Parrotbill,Paradoxornis brunneus,0
1147,灰喉鸦雀,Ashy-throated Parrotbill,Paradoxornis alphonsianus,0
1148,暗色鸦雀 ,Grey-hooded Parrotbill,Paradoxornis zappeyi,3
1149,灰冠鸦雀,Rusty-throated Parrotbill,Paradoxornis przewalskii,2
1150,黄额鸦雀 ,Fulvous Parrotbill,Paradoxornis fulvifrons,2
1151,橙额鸦雀,Black-throated Parrotbill,Paradoxornis nipalensis,2
1152,金色鸦雀,Golden Parrotbill,Paradoxornis verreauxi,0
1153,短尾鸦雀,Short-tailed Parrotbill,Paradoxornis davidianus,2
1154,黑眉鸦雀,Lesser Rufous-headed Parrotbil,Paradoxornis atrosuperciliaris,1
1155,红头鸦雀,Rufous-headed Parrotbill,Paradoxornis ruficeps,1
1156,震旦鸦雀,Reed Parrotbill,Paradoxornis heudei,2
1157,灰[白喉]林莺,Srenter Whitethroat,Sylvia communis,1
1158,白喉林莺,Lesser Whitethroat,Sylvia curruca,2
1159,沙白喉林莺,Small Whitethroat,Sylvia minula,0
1160,漠地林莺,Desert Warbler,Sylvia nana,2
1161,横斑林莺,Barred Warbler,Sylvia nisoria,1
1162,歌百灵,Singing Bushlark,Mirafra cantillans,1
1163,二斑百灵,Bimaculated Lark,Melanocorypha bimaculata,2
1164,长嘴百灵,Tibetan Lark,Melanocorypha maxima,0
1165,[蒙古]百灵,Mongolian Lark,Melanocorypha mongolica,2
1166,白翅百灵,White-winged Lark,Melanocorypha leucoptera,1
1167,黑百灵,Black Lark,Melanocorypha yeltoniensis,2
1168,短趾百灵,Red-capped Lark,Calandrella brachydactyla,0
1169,细嘴短趾百灵,Hume's Short-toed Lark,Calandrella acutirostris,3
1170,[亚洲]短趾百灵,Asian Short-toed Lark,Calandrella cheleensis,0
1171,凤头百灵,Crested Lark,Galerida cristata,0
1172,云雀,Eurasian Skylark,Alauda arvensis,0
1173,日本云雀,Japanese Skylark,Alauda japonica,2
1174,小云雀,Oriental Skylark,Alauda gulgula,0
1175,角百灵,Horned Lark,Eremophila alpestris,0
1176,厚嘴啄花鸟,Thick-billed Flowerpecker,Dicaeum agile,3
1177,黄肛啄花鸟,Yellow-vented Flowerpecker,Dicaeum chrysorrheum,0
1178,黄腹啄花鸟,Yellow-bellied Flowerpecker,Dicaeum melanoxanthum,2
1179,纯色啄花鸟,Plain Flowerpecker,Dicaeum concolor,0
1180,红胸啄花鸟,Fire-breasted Flowerpecker,Dicaeum ignipectus,0
1181,朱背啄花鸟,Scarlet-backed Flowerpecker,Dicaeum cruentatum,2
1182,紫颊直嘴太阳鸟,Ruby-cheeked Sunbird,Anthreptes singalensis,2
1183,蓝枕花蜜鸟,Purple-naped Sunbird,Hypogramma hypogrammicum,0
1184,黄腹花蜜鸟,Olive-backed Sunbird,Nectarinia jugularis,2
1185,紫色花蜜鸟,Purple Sunbird,Nectarinia asiatica,1
1186,蓝喉太阳鸟,Mrs Gould's Sunbird,Aethopyga gouldiae,0
1187,绿喉太阳鸟 ,Green-thriated Sunbird,Aethopyga nipalensis,2
1188,叉尾太阳鸟,Fork-tailed Sunbird,Aethopyga christinae,0
1189,黑胸太阳鸟,Black-throated Sunbird,Aethopyga saturata,2
1190,黄腰太阳鸟,Crimson Sunbird,Aethopyga siparaja,0
1191,火尾太阳鸟,Fire-tailed Sunbird,Aethopyga ignicauda,2
1192,长嘴捕蛛鸟,Little Spiderhunter,Arachnothera longirostris,0
1193,纹背捕蛛鸟 ,Streaked Spiderhunter,Arachnothera magna,0
1194,黑顶麻雀,Saxaul Sparrow,Passer ammodendri,0
1195,家麻雀,House Sparrow,Passer domesticus,0
1196,黑胸麻雀,Spanish Sparrow,Passer hispaniolensis,0
1197,山麻雀 ,Russet Sparrow,Passer rutilans,0
1198,[树]麻雀 ,Eurasian Tree Sparrow,Passer montanus,0
1199,石雀,Rock Sparrow,Petronia petronia,0
1200,白斑翅雪雀,White-winged Snowfinch,Montifringillla nivalis,0
1201,褐翅雪雀,Tibetan Snowfinch,Montifringilla adamsi,0
1202,白腰雪雀,White-rumped Snowfinch,Pyrgilauda taczanowskii,0
1203,黑喉雪雀,Small Snowfinch,Pyrgilauda davidiana,2
1204,棕颈雪雀,Rufous-necked Snowfinch,Pyrgilauda ruficollis,0
1205,棕背雪雀 ,Plain-backed Snowfinch,Pyrgilauda blandfordi,0
1206,山鹡鸰,Forest Wagtail,Dendronanthus indicus,0
1207,白鹡鸰 ,White Wagtail,Motacilla alba,0
1208,黑背鹡鸰,Black-backed Wagtail,Motacilla lugens,2
1209,日本鹡鸰,Japanese Wagtail,Motacilla grandis,2
1210,黄头鹡鸰,Citrine Wagtail,Motacilla citreola,0
1211,黄鹡鸰,Yellow Wagtail,Motacilla flava,0
1212,灰鹡鸰,Grey Wagtail,Motacilla cinerea,0
1213,理氏鹨,Richard's Pipit,Anthus richardi,0
1214,田鹨,Paddyfield Pipit,Anthus rufulus,0
1215,平原鹨,Tawny Pipit,Anthus campestris,1
1216,布莱氏鹨,Blyth's Pipit,Anthus godlewskii,1
1217,林鹨,Tree Pipit,Anthus trivialis,1
1218,树鹨,Orienfnl Tree Pipit,Anthus hodgsoni,0
1219,北鹨,Pechora Pipit,Anthus gustavi,1
1220,草地鹨,Meadow Pipit,Anthus pratensis,1
1221,红喉鹨,Red-throated Pipit,Anthus cervinus,0
1222,粉红胸鹨,Rosy Pipit,Anthus roseatus,0
1223,水鹨,Water Pipit,Anthus spinoletta,0
1224,黄腹鹨,Buff-bellied Pipit,Anthus rubescens,0
1225,山鹨,Upland Pipit,Anthus sylvanus,2
1226,领岩鹨,Cllared Accentor,Prunella collaris,0
1227,高原岩鹨,Rufous-streaked Accentor,Prunella himalayana,2
1228,鸲岩鹨,Robin Accentor,Prunella rubeculoides,2
1229,棕胸岩鹨,Rufous-breasted Accentor,Prunella strophiata,2
1230,棕眉山岩鹨,Siberian Accentor,Prunella montanella,1
1231,褐岩鹨,Brown Accentor,Prunella fulvescens,0
1232,黑喉岩鹨,Black-throated Accentor,Prunella atrogularis,1
1233,贺兰山岩鹨,Mongolian Accentor,Prunella koslowi,2
1234,栗背岩鹨,Maroon-backed Accentor,Prunella immaculata,1
1235,黑喉织布鸟,Ploceus bengalensis,Ploceus bengalensis,2
1236,纹胸织布鸟 ,Streaked Weaver,Ploceus manyar,2
1237,黄胸织布鸟,Baya Weaver,Ploceus philippinus,0
1238,[红]梅花雀 ,Red Avadavat,Amandava amandava,2
1239,白腰文鸟,White-rumped Munia,Lonchura striata,0
1240,斑文鸟,Scaly-breasted Munia,Lonchura punctulata,0
1241,栗腹文鸟,Black-headed Munia,Lonchura malacca,2
1242,禾雀,Java Sparrow,Lonchura oryzivora,0
1243,苍头燕雀,Chaffinch,Fringilla coelebs,2
1244,燕雀 ,Brambling,Fringilla montifringilla,2
1245,金额丝雀,Fire-fronted Serin,Serinus pusillus,2
1246,金翅[雀],Grey-capped Greenfinch,Carduelis sinica,0
1247,高山金翅[雀],Yellow-breasted Greenfinch,Carduelis spinoides,0
1248,黑头金翅[雀] ,Black-headed Greenfinch,Carduelis ambigua,0
1249,黄雀,Eurasian Siskin,Carduelis spinus,0
1250,藏黄雀,Tibetan Serin,Carduelis thibetana,2
1251,红额金翅[雀] ,European Goldfinch,Carduelis carduelis,0
1252,极北朱顶雀,Hoary Redpoll,Carduelis hornemanni,2
1253,白腰朱顶雀,Common Redpoll,Carduelis flammea,0
1254,黄嘴朱顶雀,Twite,Carduelis flavirostris,0
1255,赤胸朱顶雀,Eurasian Linnet,Carduelis cannabina,2
1256,林岭雀,Plain Mountain-Finch,Leucosticte nemoricola,0
1257,高山岭雀,Brandt's Mountain Finch,Leucosticte brandti,0
1258,褐头岭雀,Sillem's Mountain Finch,Leucosticte sillemi,1
1259,粉红腹岭雀 ,Asian Rosy-Finch,Leucosticte arctoa,0
1260,红眉金翅雀 ,Spectacled Finch,Callacanthis burtoni,1
1261,赤翅沙雀,Crimson-winged Finch,Rhodopechys sanguinea,1
1262,蒙古沙雀,Mongolian Finch,Bucanetes mongolica,0
1263,巨嘴沙雀 ,Desert Finch,Rhodospiza obsoleta,3
1264,长尾雀,Long-tailed Rosefinch,Uragus sibiricus,0
1265,赤朱雀,Crimson Rosefinch,Carpodacus rubescens,2
1266,暗胸朱雀,Dark-breasted Rosefinch,Carpodacus nipalensis,0
1267,普通朱雀,Common Rosefinch,Carpodacus erythrinus,0
1268,红眉朱雀,Beautiful Rosefinch,Carpodacus pulcherrimus,0
1269,曙红朱雀,Pink-rumped Rosefinch,Carpodacus eos,2
1270,玫红眉朱雀 ,Pink-browed Rosefinch,Carpodacus rhodochrous,1
1271,酒红朱雀,Vinaceous Rosefinch,Carpodacus vinaceus,2
1272,棕朱雀,Dark-rumped Rosefinch,Carpodacus edwardsii,3
1273,沙色朱雀,Pale Rosefinch,Carpodacus synoicus,0
1274,北朱雀,Pallas's Rosefinch,Carpodacus roseus,2
1275,斑翅朱雀,Three-banded Rosefinch,Carpodacus trifasciatus,3
1276,点翅朱雀,Spot-winged Rosefinch,Carpodacus rhodopeplus,1
1277,白眉朱雀,White-browed Rosefinch,Carpodacus thura,0
1278,红腰朱雀,Red-mantled Rosefinch,Carpodacus rhodochlamys,1
1279,拟大朱雀,Streaked Rosefinch,Carpodacus rubicilloides,2
1280,大朱雀,Great Rosefinch,Carpodacus rubicilla,2
1281,红胸朱雀,Red-fronted Rosefinch,Carpodacus puniceus,0
1282,藏雀,Tibetan Rosefinch,Carpodacus roborowskii,1
1283,松雀,Pine Grosbeak,Pinicola enucleator,1
1284,红眉松雀,Crimson-browed Finch,Propyrrhula subhimachala,2
1285,血雀,Scarlet Finch,Haematospiza sipahi,2
1286,红交嘴雀,Red Crossbill,Loxia curvirostra,0
1287,白翅交嘴雀,White-winged Crossbill,Loxia leucoptera,1
1288,褐灰雀,Brown Bullfinch,Pyrrhula nipalensis,0
1289,红头灰雀,Red-headed Bullfinch,Pyrrhula erythrocephala,0
1290,灰头灰雀,Grey-headed Bullfinch,Pyrrhula erythaca,0
1291,红腹灰雀,Eurasian Bullfinch,Pyrrhula pyrrhula,1
1292,锡嘴雀,Hawfinch,Coccothraustes coccothraustes,0
1293,黑尾蜡嘴雀,Yellow-billed Grosbeak,Eophona migratoria,0
1294,黑头蜡嘴雀,Japanese Grosbeak,Eophona personata,0
1295,黄颈拟蜡嘴雀,Collared Grosbeak,Mycerobas affinis,0
1296,白点翅拟蜡嘴雀,Spot-winged Grosbeak,Mycerobas melanozanthos,2
1297,白斑翅拟蜡嘴雀 ,White-winged Grosbeak,Mycerobas carnipes,0
1298,金枕黑雀,Gold-naped Finch,Pyrrhoplectes epauletta,0
1299,朱鹀,Rosc Bunting,Urocynchramus pylzowi,2
1300,凤头鹀,Crested Bunting,Melophus lathami,0
1301,蓝鹀,Slaty Bunting,Latoucheornis siemsseni,0
1302,黄鹀,Yellowhammer,Emberiza citrinella,1
1303,白头鹀,Pine Bunting,Emberiza leucocephalos,0
1304,藏鹀,Tibetan Bunting,Emberiza koslowi,1
1305,灰眉岩鹀,Rock Bunting,Emberiza cia,0
1306,戈氏岩鹀,Godlewski's Bunting,Emberiza godlewskii,0
1307,三道眉草鹀 ,Meadow Bunting,Emberiza cioides,0
1308,栗斑腹鹀 ,Rufous-backed Bunting,Emberiza jankowskii,2
1309,灰颈鹀,Grey-necked Bunting,Emberiza buchanani,0
1310,圃鹀,Ortolan Bunting,Emberiza hortulana,0
1311,白眉鹀,Tristram's Bunting,Emberiza tristrami,0
1312,栗耳鹀 ,Chestnut-eared Bunting,Emberiza fucata,0
1313,小鹀,Little Bunting,Emberiza pusilla,0
1314,黄眉鹀,Yellow-browed Bunting,Emberiza chrysophrys,2
1315,田鹀,Rustic Bunting,Emberiza rustica,0
1316,黄喉鹀 ,Yellow-throated Bunting,Emberiza elegans,0
1317,黄胸鹀,Yellow-breasted Bunting,Emberiza aureola,0
1318,栗鹀,Chestnut Bunting,Emberiza rutila,0
1319,黑头鹀 ,Red-headed Bunting,Emberiza melanocephala,1
1320,褐头鹀,Red-headed Bunting,Emberiza bruniceps,0
1321,硫黄鹀,Yellow Bunting,Emberiza sulphurata,1
1322,灰头鹀,Black-faced Bunting,Emberiza spodocephala,0
1323,灰鹀,Grey Bunting,Emberiza variabilis,2
1324,苇鹀,Pallas's Bunting,Emberiza pallasi,1
1325,芦鹀,Reed Bunting,Emberiza schoeniclus,0
1326,红颈苇鹀,Ochre-rumped Bunting,Emberiza yessoensis,2
1327,黍鹀,Corn Bunting,Miliaria calandra,2
1328,铁爪鹀,Lapland Longspur,Calcarius lapponicus,2
1329,雪鹀,Snow Bunting,Plectrophenax nivalis,1
