ID,Chinese Name,English Name,Latin Name,Rarity (1-4 from rare to common)
396,铁嘴沙鸻,Greater Sand Plover,Charadrius leschenaultii,0
397,红胸鸻,Caspian Plover,Charadrius asiaticus,1
398,东方鸻,Oriental Plover,Charadrius veredus,2
399,小嘴鸻,Eurasian Dotterel,Charadrius morinellus,1
400,凤头麦鸡,Northern Lapwing,Vanellus vanellus,0
401,距翅麦鸡,Spur-ainged Lapuiing,Vanellus duvaucelii,2
402,灰头麦鸡,Grey-headed Lapwing,Vanellus cinereus,2
403,肉垂麦鸡,Red-wattled Lapwing,Vanellus indicus,0
404,领燕鸻,Collared Pratincole,Glareola pratincola,1
405,普通燕鸻,Oriental Pratincole,Glareola maldivarum,0
406,灰燕鸻,Small Pratincole,Small Pratincole,2
407,褐贼鸥,Great Skua,Catharacta antarctica,2
408,麦氏贼鸥,Great Skua,Catharacta maccormicki,2
409,中贼鸥,Pomarine Jaeger,Stercorarius pomarinus,0
410,短尾贼鸥,Parasitic Jaeger,Stercorarius parasiticus,2
411,长尾贼鸥,Long-tailed Jaeger,Long-tailed Jaeger,1
412,剪嘴鸥,Indian Skimmer,Rynchops albicollis,2
413,黑尾鸥,Black-tailed Gull,Larus crassirostris,0
414,海鸥,Mew Gull,Larus canus,0
415,灰翅鸥,Glaucous-winged Gull,Larus glaucescens,1
416,北极鸥,Glaucous Gull,Larus hyperboreus,2
417,灰背鸥,Slaty-backed Gull,Larus schistisagus,0
418,银鸥,Herring Gull,Larus argentatus,1
419,灰林银鸥,Heuglin's Gull,Larus heuglini,0
420,织女银鸥,Vega Gull,Larus vegae,0
421,黄脚银鸥,Yellow-legged Gull,Larus cachinnans,0
422,渔鸥,Pallas's Gull,Larus ichthyaetus,0
423,棕头鸥,Brown-headed Gull,Larus brunnicephalus,3
424,红嘴鸥,Common Black-headed Gull,Larus ridibundus,0
425,细嘴鸥,Slender-billed Gull,Larus genei,2
426,黑嘴鸥 ,Saunders's Gull,Saunders's Gull,1
427,遗鸥,Relict Gull,Larus relictus,3
428,小鸥,Little Gull,Larus minutus,1
429,楔尾鸥,Ross's Gull,Ross's Gull,1
430,叉尾鸥,Sabine's Gull,Xema sabini,1
431,三趾鸥,Black-legged Kittiwake,Rissa tridactyla,1
432,鸥嘴噪鸥 ,Gull-billed Tern,Gelochelidon nilotica,2
433,红嘴巨鸥,Caspian Tern,Sterna caspia,2
434,黄嘴河燕鸥,River Tern,Sterna aurantia,1
435,小凤头燕鸥,Lesser Crested Tern,Sterna bengalensis,1
436,大凤头燕鸥,Great Crested-Tern,Sterna bergii,3
437,黑嘴端凤头燕鸥,Chinese Lesser Crested Tern,Sterna bernsteini,1
438,粉红燕鸥,Roseate Ter,Sterna dougallii,1
439,黑枕燕鸥,Black-naped Tern,Sterna sumatrana,2
440,普通燕鸥,Common Tern,Sterna hirundo,0
441,白额燕鸥,Little Tern,Sterna albifrons,0
442,黑腹燕鸥 ,Black-bellied Tern,Sterna acuticauda,1
443,白腰燕鸥,Aleutian Tern,Sterna aleutica,1
444,褐翅燕鸥,Bridled Tern,Sterna anaethetus,0
445,乌燕鸥,Sooty Tern,Sterna fuscata,2
446,须浮鸥,Whiskered Tern,Chlidonias hybrida,0
447,白翅浮鸥,White-winged Tern,Chlidonias leucoptera,2
448,黑浮鸥 ,Black Tern,Chlidonias niger,1
449,白顶玄燕鸥,Noddy Tern,Anous stolidus,3
450,白玄鸥,White Tern,Gygis alba,1
451,斑海雀,Marbled Murrelet,Brachyramphus marmoratus,1
452,扁嘴海雀,Short-billed Guillemot,Synthliboramphus antiquus,2
453,冠海雀,Japanese Murrelet,Synthliboramphus wumizusume,2
454,角嘴海雀,Rhinoceros Auklet,Cerorhinca monocerata,1
455,鹗,Osprey,Pandion haliaetus,1
456,褐冠鹃隼,Jerdon's Baza,Aviceda jerdoni,1
457,黑冠鹃隼,Black Baza,Aviceda leuphotes,3
458,凤头蜂鹰,Oriental Honey-buzzard,Pernis ptilorhynchus,1
459,黑翅鸢,Black-winged Kite,Elanus caeruleus,1
460,黑鸢,Black Kite,Milvus migrans,0
461,黑耳鸢,Black-eared Kite,Milvus lineatus,0
462,栗鸢,Brahminy Kite,Haliastur indus,2
463,白腹海雕,White-bellied Sea Eagle,Haliaeetus leucogaster,1
464,玉带海雕,Pallas's Sea-Eagle,Haliaeetus leucoryphus,2
465,白尾海雕 ,White-tailed Sea Eagle,Haliaeetus albicilla,2
466,虎头海雕,Steller's Sea-eagle,Haliaeetus pelagicus,1
467,渔雕,Lesser Fish-Eagle,Ichthyophaga humilis,1
468,胡兀鹫,Lammergeier,Gypaetus barbatus,0
469,白背兀鹫,White-rumped Vulture,Gyps bengalensis,1
470,高山兀鹫,Himalayan Griffon,Gyps himalayensis,0
471,兀鹫,Eurasian Griffon,Gyps fulvus,1
472,秃鹫,Cinereous Vulture,Aegypius monachus,1
473,黑兀鹫,Red-headed Vulture,Sarcogyps calvus,1
474,短趾雕,Short-toed Snake-Eagle,Circaetus gallicus,1
475,蛇雕,Crested Serpent-Eagle,Spilornis cheela,0
476,白头鹞,Western Marsh-Harrier,Circus aeruginosus,2
477,白腹鹞,Eastern Marsh-Harrier,Circus spilonotus,0
478,白尾鹞,Northern Harrier,Circus cyaneus,0
479,草原鹞,Pallid Harrier,Circus macrourus,1
480,鹊鹞,Pied Harrier,Circus melanoleucos,0
481,乌灰鹞,Montagu's Harrier,Circus pygargus,1
482,凤头鹰,Crested Goshawk,Accipiter trivirgatus,3
483,褐耳鹰,Shikra,Accipiter badius,1
484,赤腹鹰,Chinese Sparrowhawk,Accipiter soloensis,0
485,日本松雀鹰,Japanese Sparrowhawk,Accipiter gularis,0
486,松雀鹰,Besra,Accipiter virgatus,2
487,雀鹰,Eurasian Sparrowhawk,Accipiter nisus,0
488,苍鹰 ,Northern Goshawk,Accipiter gentilis,0
489,白眼鵟鹰,White-eyed Buzzard,Butastur teesa,1
490,棕翅鵟鹰 ,Rufous-winged Buzzard,Butastur liventer,1
491,灰脸鵟鹰,Grey-faced Buzzard Eagle,Butastur indicus,0
492,普通鵟,Common Buzzard,Buteo buteo,0
493,棕尾鵟,Long-legged Buzzard,Buteo rufinus,1
494,大鵟,Upland Buzzard,Buteo hemilasius,0
495,毛脚鵟,Rough-legged Buzzard,Buteo lagopus,1
496,林雕,Black Eagle,Ictinaetus malayensis,1
497,乌雕,Greater Spotted Eagle,Aquila clanga,2
498,草原雕,Steppe Eagle,Aquila nipalensis,0
499,白肩雕,Imperial Eagle,Aquila heliaca,2
500,金雕,Golden Eagle,Aquila chrysaetos,2
501,白腹隼雕,Bonelli's Hawk Eagle,Hieraaetus fasciata,2
502,靴隼雕,Booted Eagle,Hieraaetus pennata,1
503,棕腹隼雕,Rufous-bellied Hawk Eagle,Hieraaetus kienerii,1
504,鹰雕,Mountain Hawk-Eagle,Spizaetus nipalensis,1
505,红腿小隼,Collared Falconet,Microhierax caerulescens,1
506,[白腿]小隼,Pied Falconet,Microhierax melanoleucos,2
507,黄爪隼,Lesser Kestrel,Falco naumanni,2
508,红隼,Common Kestrel,Falco tinnunculus,0
509,红脚隼,Red-footed Falcon,Falco vespertinus,1
510,阿穆尔隼,Amur Falcon,Falco amurebsis,0
511,灰背隼,Merlin,Falco columbarius,2
512,燕隼,Eurasian Hobby,Falco subbuteo,3
513,猛隼,Oriental Hobby,Falco severus,1
514,猎隼,Saker Falcon,Falco cherrug,2
515,矛隼,Gyrfalcon,Falco rusticolus,1
516,游隼,Peregrine Falcon,Falco peregrinus,2
517,拟游隼,Barbary Falcon,Falco pelegrinoides,0
518,小,Little Grebe,Tachybapus ruficollis,0
519,赤颈,Red-necked Grebe,Tachybapus ruficollis,0
520,凤头,Great Crested Grebe,Tachybapus ruficollis,0
521,角,Horned Grebe,Tachybapus ruficollis,1
522,黑颈,Black-necked Grebe,Tachybapus ruficollis,1
523,短尾鹲 ,Short-Tailed Tropicbird,Phaethon aethereus,0
524,红尾鹲,Red-tailed Tropicbird,Phaethon rubricauda,1
525,白尾鹲,White-tailed Tropicbird,Phaethon lepturus,1
526,蓝脸鲣鸟,Masked Booby,Sula dactylatra,0
527,红脚鲣鸟,Red-footed Booby,Sula sula,0
528,褐鲣鸟,Brown Booby,Sula leucogaster,0
529,黑腹蛇鹈,Darter,Anhinga melanogaster,1
530,黑颈鸬鹚,Pygmy cormorant,Phalacrocorax niger,1
531,[普通]鸬鹚 ,Great Cormorant,Phalacrocorax carbo,3
532,暗绿背鸬鹚,Temminck's Cormorant,Phalacrocorax capillatus,1
533,红脸鸬鹚,Red-faced Cormorant,Phalacrocorax urile,1
534,海鸬鹚,Sea Cormorant,Phalacrocorax pelagicus,2
535,白鹭 ,Little Egret,Egretta garzetta,0
536,黄嘴白鹭,Chinese Egret,Egretta eulophotes,1
537,岩鹭,Reef Heron,Egretta sacra,2
538,白颈黑鹭,Pied Heron,Egretta picatta,1
539,苍鹭,Grey Heron,Ardea cinerea,0
540,白腹鹭,White-Bellied Heron,Ardea insignis,2
541,草鹭 ,Purple Heron,Ardea purpurea,0
542,大白鹭,Large Egret,Casmerodius albus,0
543,中白鹭,Intermediate Egret,Mesophoyx intermedia,0
544,牛背鹭,Cattle Egret,Bubulcus ibis,0
545,池鹭,Chinese Pond-Heron,Ardeola bacchus,0
546,绿鹭,Striated Heron,Butorides striatus,0
547,夜鹭,Black-crowned Night-Heron,Nycticorax nycticorax,0
548,海南鳽,White-eared Night Heron,Gorsachius magnificus,1
549,栗鳽,Japanese Night Heron,Gorsachius goisagi,1
550,黑冠鳽,Tiger Bittern,Gorsachius melanolophus,1
551,小苇鳽,Little Bittern,Ixobrychus minutus,1
552,黄苇鳽,Yellow Bittern,Ixobrychus sinensis,0
553,紫背苇鳽,Von Schrenck's Bittern,Ixobrychus eurhythmus,3
554,栗苇鳽,Cinnamon Bittern,Ixobrychus cinnamomeus,0
555,黑鳽,Black Bittern,Dupetor flavicollis,2
556,大麻鳽,Great Bittern,Botaurus stellaris,1
557,大火烈鸟[大红鹳],Greater Flamingo,Phoenicopterus ruber,1
558,彩鹮,Glossy Ibis,Plegadis falcinellus,2
559,[黑头]白鹮,White Ibis,Threskiornis melanocephalus,1
560,黑鹮,White-shouldered Ibis,Pseudibis davisoni,1
561,朱鹮,Crested Ibis,Nipponia nippon,1
562,白琵鹭,White Spoonbill,Platalea leucorodia,2
563,黑脸琵鹭,Black-faced Spoonbill,Platalea minor,1
564,白鹈鹕,Great White Pelican,Pelecanus onocrotalus,1
565,卷羽鹈鹕,Dalmatian Pelican,Pelecanus crispus,1
566,斑嘴鹈鹕,Spot-billed philippensis,Pelecanus philippensis,1
567,白头鹮鹳,Painted Stork,Mycteria leucocephala,1
568,黑鹳,Black Stork,Ciconia nigra,1
569,白鹳,White Stork,Ciconia ciconia,1
570,东方白鹳,Oriental White Stork,Ciconia boyciana,2
571,秃鹳,Lesser Adjutant,Leptoptilos javanicus,1
572,小军舰鸟,Great Frigatebird,Fregata minor,3
573,白斑军舰鸟,Lesser Frigatebird,Fregata ariel,1
574,白腹军舰鸟 ,Christmas Island Frigatebird,Fregata andrewsi,2
575,红喉潜鸟,Red-throated Loon,Gavia stellata,1
576,黑喉潜鸟,Black-throated Loon,Gavia arctica,1
577,太平洋潜鸟,Pacific Loon,Gavia pacifica,1
578,普通潜鸟,Common Loon,Gavia immer,1
579,白嘴潜鸟,Yellow-billed Loon,Gavia adamsii,1
580,暴雪鹱,Northern Fulmar,Fulmarus glacialis,2
581,钩嘴圆尾鹱,Tahiti Petrel,Pterodroma rostrata,2
582,点额圆尾鹱,Bonin Petrel,Pterodroma hypoleuca,2
583,纯褐鹱 ,Bulwer's Petrel,Bulweria bulwerii,1
584,白额鹱,Streaked Shearwater,Calonectris leucomelas,3
585,曳尾鹱,Wedge-tailed Shearwater,Puffinus pacificus,0
586,肉足鹱,Flesh-Footed Shearwater,Puffinus carneipes,2
587,灰鹱,Sooty Shearwater,Puffinus griseus,2
588,短尾鹱,Short-tailed Shearwater,Puffinus tenuirostris,2
589,短尾信天翁,Short-tailed Albatross,Diomedea albatrus,1
590,黑脚信天翁,Black-footed Albatross,Diomedea nigripes,1
591,黑背信天翁,Laysan Albatross,Diomedea immutabilis,1
592,烟黑叉尾海燕,Wilson's Storm-Petrel,Oceanites oceanicus,2
593,白腰叉尾海燕,Leach's Storm-Petrel,Oceanodroma leucorhoa,2
594,黑叉尾海燕,Swinhoe's Storm-Petrel,Oceanodroma monorhis,2
595,日本叉尾海燕,Matsudaira's Storm-Petrel,Oceanodroma matsudairae,2
596,双辫八色鸫,Eared Pitta,Pitta phayrei,1
597,蓝枕八色鸫,Blue-naped Pitta,Pitta nipalensis,2
598,蓝背八色鸫,Blue-rumped Pitta,Pitta soror,1
599,栗头八色鸫,Rusty-naped Pitta,Pitta oatesi,1
600,蓝八色鸫,Blue Pitta,Pitta cyanea,1
601,绿胸八色鸫,Hooded Pitta,Pitta sordida,1
602,仙八色鸫,Fairy Pitta,Pitta nympha,2
603,蓝翅八色鸫,Blue-winged Pitta,Pitta moluccensis,1
604,银胸丝冠鸟,Silver-breasted Broadbill,Serilophus lunatus,2
605,长尾阔嘴鸟,Long-tailed Broadbill,Psarisomus dalhousiae,2
606,和平鸟,Asian Fairy-bluebird,Irena puella,0
607,蓝翅叶鹎,Blue-winged Leafbird,Chloropsis cochinchinensis,0
608,金额叶鹎,Golden-fronted Leafbird,Chloropsis aurifrons,0
609,橙腹叶鹎,Orange-bellied Leafbird,Chloropsis hardwickii,0
610,虎纹伯劳,Tiger Shrike,Lanius tigrinus,0
611,牛头伯劳,Bull-headed Shrike,Lanius bucephalus,0
612,红背伯劳,Red-backed Shrike,Lanius collurio,0
613,棕尾伯劳,Rufous-tailed Shrike,Lanius isabellinus,0
614,红尾伯劳,Brown Shrike,Lanius cristatus,0
615,栗背伯劳,Burmese Shrike,Lanius collurioides,2
616,棕背伯劳,Long-tailed Shrike,Lanius schach,0
617,灰背伯劳,Grey-backed Shrike,Lanius tephronotus,0
618,黑额伯劳,Lesser Grey Shrike,Lanius minor,1
619,灰伯劳,Northern Shrike,Lanius excubitor,2
620,楔尾伯劳,Chinese Grey Shrike,Lanius sphenocercus,0
621,松鸦,Eurasian Jay,Garrulus glandarius,0
622,北噪鸦,Siberian Jay,Perisoreus infaustus,2
623,黑头噪鸦,Sichuan Jay,Perisoreus internigrans,2
624,台湾蓝鹊,Taiwan Blue Magpie,Urocissa caerulea,3
625,黄嘴蓝鹊,Yellow-billed Blue Magpie,Urocissa flavirostris,0
626,红嘴蓝鹊,Red-billed Blue Magpie,Urocissa erythrorhyncha,0
627,白翅蓝鹊 ,White-winged Magpie,Urocissa whiteheadi,2
628,蓝绿鹊,Green Magpie,Cissa chinensis,1
629,印支绿鹊,Short-tailed Magpie,Cissa hypoleuca,2
630,灰喜鹊,Azure-winged Magpie,Cyanopica cyana,0
631,棕腹树鹊,Rufous Treepie,Dendrocitta vagabunda,0
632,灰树鹊,Grey Treepie,Dendrocitta formosae,0
633,黑额树鹊,Collared Treepie,Dendrocitta frontalis,2
634,盘尾树鹊,Racket-tailed Treepie,Crypsirina temia,1
635,塔尾树鹊,Ratchet-tailed Treepie,Temnurus temnurus,1
636,喜鹊,Black-billed Magpie,Pica pica,0
637,黑尾地鸦,Mongolian Ground-Jay,Podoces hendersoni,0
638,白尾地鸦,Xinjiang Ground-Jay,Podoces biddulphi,2
639,褐背拟地鸦,Tibetan Ground-Jay,Pseudopodoces humilis,0
640,星鸦,Spotted Nutcracker,Nucifraga caryocatactes,0
641,红嘴山鸦,Red-billed Chough,Pyrrhocorax pyrrhocorax,0
642,黄嘴山鸦,Yellow-billed Chough,Pyrrhocorax graculus,2
643,寒鸦,Jackdaw,Corvus monedula,0
644,达乌里寒鸦,Daurian Jackdaw,Corvus dauurica,0
645,家鸦,House Crow,Corvus splendens,0
646,秃鼻乌鸦 ,Rook,Corvus frugilegus,2
647,小嘴乌鸦,Carrion Crow,Corvus corone,0
648,大嘴乌鸦,Large-billed Crow,Corvus macrorhynchos,0
649,丛林鸦,Jungle Crow,Corvus levaillantii,0
650,白颈鸦,Collared Crow,Corvus torquatus,0
651,渡鸦,Common Raven,Corvus corax,0
652,灰燕鵙,Ashy Woodswallow,Artamus fuscus,0
653,金黄鹂,Eurasian Golden-Oriole,Oriolus oriolus,2
654,黑枕黄鹂,Black-naped Oriole,Oriolus chinensis,0
655,细嘴黄鹂,Slender-billed Oriole,Oriolus tenuirostris,1
656,黑头黄鹂,Black-hooded Oriole,Oriolus xanthornus,2
657,朱鹂,Maroon Oriole,Oriolus traillii,1
658,鹊色鹂,Silver Oriole,Oriolus mellianus,1
659,大鹃鵙,Lmge Cuckooshrike,Coracina macei,0
