Short-tailed Shearwater
Short-tailed Albatross
Black-footed Albatross
Laysan Albatross
Wilson's Storm-Petrel
Leach's Storm-Petrel
Swinhoe's Storm-Petrel
Matsudaira's Storm-Petrel
Eared Pitta
Blue-naped Pitta
Blue-rumped Pitta
Rusty-naped Pitta
Blue Pitta
Hooded Pitta
Fairy Pitta
Silver-breasted Broadbill
Long-tailed Broadbill
Asian Fairy-bluebird
Blue-winged Leafbird
Golden-fronted Leafbird
Orange-bellied Leafbird
Tiger Shrike
Bull-headed Shrike
Red-backed Shrike
Rufous-tailed Shrike
Brown Shrike
Burmese Shrike
Long-tailed Shrike
Grey-backed Shrike
Lesser Grey Shrike
Northern Shrike
Chinese Grey Shrike
Eurasian Jay
Siberian Jay
Sichuan Jay
Taiwan Blue Magpie
Yellow-billed Blue Magpie
Red-billed Blue Magpie
White-winged Magpie
Green Magpie
Short-tailed Magpie
Azure-winged Magpie
Racket-tailed Treepie
Ratchet-tailed Treepie
Mongolian Ground-Jay
Xinjiang Ground-Jay
Tibetan Ground-Jay
Red-billed Chough
Yellow-billed Chough
Jackdaw
Rook
Carrion Crow
Jungle Crow
Collared Crow
Ashy Woodswallow
Black-naped Oriole
Slender-billed Oriole
Maroon Oriole
Silver Oriole
Rosy Minivet
Swinhoe's Minivet
Grey-throated Winivet
Scarlet Minivet
Yellow-bellied Fantail
White-throated Fantail
White-browed Fantail
Bronzed Drongo
Lesser Racquet-tailed Drongo
Greater Racket-tailed Drongo
Black-naped Monarch
Japanese Paradise-Flycatcher
Asian Paradise-Flycatcher
Common Iora
Great Iora
Large Woodshrike
Bohemian Waxwing
Japanese Waxwing
White-throated Dipper
Brown Dipper
Rufous-tailed Rock-Thrush
Blue-capped Rock-Thrush
White-throated Rock Thrush
Chestnut-bellied RockThrush
Scaly Thrush
Eurasian Blackbird
Kessler's Thrush
Eyebrowed Thrush
Brown-headed Thrush
Dusky Thrush
Redwing
Song Thrush
Chinese Thrush
Rusty-bellied Shortwing
Lesser Shortwing
White-browed Shortwing
White-gorgetted Jungle Flycatc
Spotted Flycatcher
Grey-streaked Flycatcher
Brown-breasted Flycatcher
Ferruginous Flycatcher
Yellow-rumped Flycatcher
Narcissus Flycatcher
Mugimaki Flycatcher
Rufous-gorgeted Flycatche
White-gorgeted Flycatcher
Snowy-browed Flycatcher
Ultramarine Flycatcher
Slaty-blueFlycatcher
Sapphire Flycatcher
Verditer Flycatcher
Large Niltava
Small Niltava
Fujian Niltava
Rufous-bellied Niltava
Vivid Niltava
White-tailed Flycatcher
Hainan Blue-Flycatcher
Pale Blue Fltcatcher
Hill Blue-Flycatcher
Grey-headed Canary-Flycat
Japanese Robin
Ryukyu Robin
White-tailed Rubythroat
Bluethroat
Firethroat
Indian Blue Robin
Orange-flanked Bush-Robin
Golden Bush-Robin
White-browed Bush-Robin
Rufous-breasted Bush Robi
White-rumped Shama
Common Redstart
Hodgson's Redstart
White-throated Redstart
Daurian Redstart
White-winged Redstart
Blue-fronted Redstart
White-capped Water-Redstart
Plumbeous Water-Redstart
White-bellied Redstart
White-tailed Robin
Blue-fronted Robin
Grandala
Little Forktail
Black-backed Forktail
Slaty-backed Forktail
White-crowned Forktail
Spotted Forktail
Purple Cochoa
Variable Wheatear
Desert Wheatear
Chestnut-tailed Starling
Silky stanling
Purple-backed Starling
White-shouldered Starling
Asian Pied Starling
Black-collared Starling
Bank Myna
White-vented Myna
Chestnut-bellied Nuthatch
White-cheeked Nuthatch
Velvet-fronted Nuthatch
Yellow-billed Nuthatch
Giant Nuthatch
Beautiful Nuthatch
Wallcreeper
Eurasian Tree-Creeper
Bar-tailed Tree-Creeper
Rusty-flanked Treecreeper
Brown-throated Treecreeper
Wren
Chinese Penduline Tit
Fire-capped Tit
Willow Tit
White-browed Tit
Rusty-breasted Tit
Turkestan Tit
Green-backed Tit
Yellow-cheeked Tit
Yellow Tit
Azure Tit
Varied Tit
Yellow-browed Tit
Sultan Tit
Long-tailed Tit
Black-throated Tit
Rufous-fronted Tit
Black-browed Tit
Sooty Tit
White-eyed River Martin
Sand Martin
Plain Martin
Eurasian Crag-Martin
Dusky Crag-Martin
Pacific Swallow
Northern House-Martin
Asian House-Martin
Nepal House-Martin
Goldcrest
Flamecrest
Crested Finchbill
Black-headed Bulbul
Black-crested Bulbul
Light-vented Bulbul
Tavaau Bulbul
Sooty-headed Bulbul
Stripe-throated Bulbul
Flavescent Bulbul
Yellow-bcllied Bulbul
White claroated Bulbul
Grey-eyed Bulbul
Brown-eared Bulbul
Ashy Bulbul
Mountain Bulbul
Madagascar Bulbul
Zitting Cisticola
Gololeu-tuaded Fautail Walolcr
White-browed Chinese Warb
Brown Prinia
Hill Prinia
Grey-breasted Prinia
Yellow-bellied Prinia
Plain Prinia
Chestnut-flanked White-ey
Oriental White-eye
Japanese White-eye
Chestnut-headed Tesia
Slaty-bellied Tesia
Grey-bellied Tesia
Asian Stubtail
Pale-footed Bush-Warbler
Manchurian Bush Warbler
Japanese Bush-Warbler
Brownish-flanked Bush-War
Chestnut-crowned Bush-War
Aberrant Bush-Warbler
Long-billed Bush-Warbler
Chinese BushWarbler
Brown Bush-Warbler
Russet Bush-Warbler
Lanceolated Warbler
Grasshopper Warbler
Rusty-rumped Warbler
Middendorff's Warbler
Pleske's Warbler
Savi's Warbler
Gray's Warbler
Stuak-bachel Suamp Wabler
Sedge Warbler
Streaked Reed-Warbler
Black-browed Reed Warbler
Paddyfield Warbler
Manchurian Reed Warbler
Blunt-winged Warbler
Eurasian Reed-Warbler
Blyth's Reed Warbler
Great Reed-Warbler
Oriental Reed Warbler
Thick-billed Warbler
Sykes's Warbler
Mountain Tailorbird
Common Tailorbird
Dark-necked Tailorbird
White-browed Tit-Warbler
Crested Tit Warbler
Common Chiffchaff
Mountain Chiffchaff
Wood Warbler
Dusky Warbler
Smoky Warbler
Tickell's Leaf Warbler
Yellow-streaked Warbler
Orange-barred Warbler
Gansu Leaf Warbler
Sichuan Leaf-Warbler
Yellow-browed Warbler
Hume's Warbler
Arctic Warbler
Greenish Warbler
Two-barredWarbler
Pale-legged Warbler
Large-billed Warbler
Eastern Crowned Warbler
Emei Leaf Warbler
Blyth's Leaf-Warbler
White-tailed Leaf-Warbler
Hainan Leaf Warbler
Yellow-vented Warbler
Sulphur-breasted Warbler
Golden-spectacled Warbler
Rufous-faced Warbler
Black-faced Warbler
Yellow-bellied Warbler
Striated Grassbird
Rufous-rumped Grassbird
Masked Laughingthrush
White-throated Laughingth
White-crested Laughingthr
Lesser Necklaced Laughingthrus
Greater Necklaced Laughingthru
Striated Laughingthrush
White-necked Laughingthrush
Grey Laughingthrush
Black-throated Laughingthrush
Sukatschev's Laughing thrush
Hwamei
Streaked Laughingthrush
Blue-winged Laughingthrush
Scaly Laughingthrush
White-whiskered Laughingthrush
Chestnut-crowned Laughingthrus
Red-tailed Laughingthrush
Red-faced Liocichla
Omei Shan Liocichla
Steere's Liocichla
Buff-breasted Babbler
Rusty-cheeked Scimitar-Ba
White-browed Scimitar Babbler
Coral-billed Scimitar-Bab
Slender-billed Scimitar-B
Rufous-capped Babbler
Grey-throated Babbler
Striped Tit-Babbler
Chinese Babax
Giant Babax
Tibetan Babax
Silver-eared Mesia
Cutia
Chestnut-fronted Shrike-B
Rusty-fronted Barwing
Formosan Barwing
Blue-winged Minla
Chestnut-tailed Minla
Yellow-throated Fulvetta
Ludlow's Fulvetta
Dusky Fulvetta
Brown-cheeked Fulvetta
Grey-cheeked Fulvetta
White-eared Sibia
White-collared Yuhina
Taiwan Yuhina
Fire-tailed Myzornis
Three-toed Parrotbill
Grey-headed Parrotbill
Spot-breasted Parrotbill
Spectacled Parrotbill
Vinous-throated Parrotbill
Ashy-throated Parrotbill
Rusty-throated Parrotbill
Fulvous Parrotbill
Short-tailed Parrotbill
Lesser Rufous-headed Parrotbil
Reed Parrotbill
Srenter Whitethroat
Lesser Whitethroat
Small Whitethroat
Desert Warbler
Barred Warbler
Singing Bushlark
Tibetan Lark
Black Lark
Asian Short-toed Lark
Japanese Skylark
Thick-billed Flowerpecker
Yellow-vented Flowerpecker
Fire-breasted Flowerpecker
Scarlet-backed Flowerpecker
Ruby-cheeked Sunbird
Mrs Gould's Sunbird
Fork-tailed Sunbird
Black-throated Sunbird
Fire-tailed Sunbird
Little Spiderhunter
Streaked Spiderhunter
Saxaul Sparrow
Russet Sparrow
White-winged Snowfinch
Tibetan Snowfinch
Plain-backed Snowfinch
Forest Wagtail
Japanese Wagtail
Orienfnl Tree Pipit
Pechora Pipit
Rosy Pipit
Cllared Accentor
Mongolian Accentor
Ploceus bengalensis
Streaked Weaver
Baya Weaver
Red Avadavat
White-rumped Munia
Black-headed Munia
Fire-fronted Serin
Tibetan Serin
Twite
Plain Mountain-Finch
Sillem's Mountain Finch
Crimson-winged Finch
Desert Finch
Long-tailed Rosefinch
Beautiful Rosefinch
Pink-browed Rosefinch
Vinaceous Rosefinch
Pallas's Rosefinch
Three-banded Rosefinch
Spot-winged Rosefinch
White-browed Rosefinch
Great Rosefinch
Scarlet Finch
Brown Bullfinch
Eurasian Bullfinch
Japanese Grosbeak
Rosc Bunting
Crested Bunting
Yellowhammer
Pine Bunting
Tibetan Bunting
Little Bunting
Yellow-browed Bunting
Rustic Bunting
Yellow-throated Bunting
Yellow-breasted Bunting
Chestnut Bunting
Yellow Bunting
Black-faced Bunting
Grey Bunting
Reed Bunting
Ochre-rumped Bunting
Corn Bunting
Lapland Longspur
Snow Bunting
